Race,Date,Year,Population,Mean Income,Median Income
ALL RACES,2016-01-01,2016,126224,83143,59039
ALL RACES,2015-01-01,2015,125819,80265,57230
ALL RACES,2014-01-01,2014,124587,76783,54398
ALL RACES,2013-01-01,2013,123931,77480,55214
ALL RACES,2012-01-01,2012,122459,74507,53331
ALL RACES,2011-01-01,2011,121084,74336,53401
ALL RACES,2010-01-01,2010,119927,74188,54245
ALL RACES,2009-01-01,2009,117538,76042,55683
ALL RACES,2008-01-01,2008,117181,76277,56076
ALL RACES,2007-01-01,2007,116783,78263,58149
ALL RACES,2006-01-01,2006,116011,79246,57379
ALL RACES,2005-01-01,2005,114384,77850,56935
ALL RACES,2004-01-01,2004,113343,76830,56332
ALL RACES,2003-01-01,2003,112e3,77080,56528
ALL RACES,2002-01-01,2002,111278,77209,56599
ALL RACES,2001-01-01,2001,109297,78909,57246
ALL RACES,2000-01-01,2e3,108209,79659,58544
ALL RACES,1999-01-01,1999,106434,78905,58665
ALL RACES,1998-01-01,1998,103874,76343,57248
ALL RACES,1997-01-01,1997,102528,74149,55218
ALL RACES,1996-01-01,1996,101018,71836,54105
ALL RACES,1995-01-01,1995,99627,70329,53330
ALL RACES,1994-01-01,1994,98990,69130,51710
ALL RACES,1993-01-01,1993,97107,67784,51116
ALL RACES,1992-01-01,1992,96426,65152,51390
ALL RACES,1991-01-01,1991,95669,65194,51791
ALL RACES,1990-01-01,1990,94312,66641,53350
ALL RACES,1989-01-01,1989,93347,68277,54042
ALL RACES,1988-01-01,1988,92830,66377,53124
ALL RACES,1987-01-01,1987,91124,65526,52690
ALL RACES,1986-01-01,1986,89479,64328,52068
ALL RACES,1985-01-01,1985,88458,61851,50258
ALL RACES,1984-01-01,1984,86789,60448,49335
ALL RACES,1983-01-01,1983,85407,58234,47881
ALL RACES,1982-01-01,1982,83918,58111,48219
ALL RACES,1981-01-01,1981,83527,57762,48350
ALL RACES,1980-01-01,1980,82368,58433,49131
ALL RACES,1979-01-01,1979,80776,60321,50780
